time 1159, 530 running, numprocesses=4, numholes=2, memusage=89%
time 1161, 1006 running, numprocesses=2, numholes=2, memusage=84%
time 1169, 356 running, numprocesses=3, numholes=2, memusage=92%
time 1171, 928 running, numprocesses=1, numholes=1, memusage=94%
time 1173, 356 running, numprocesses=1, numholes=1, memusage=8%
time 1177, 928 running, numprocesses=1, numholes=1, memusage=94%
time 1181, 845 running, numprocesses=1, numholes=1, memusage=25%
time 1189, 489 running, numprocesses=2, numholes=1, memusage=95%
time 1191, 489 running, numprocesses=2, numholes=1, memusage=95%
time 1195, 296 running, numprocesses=2, numholes=1, memusage=79%
time 1196, 194 running, numprocesses=2, numholes=1, memusage=85%
time 1204, 19 running, numprocesses=2, numholes=1, memusage=80%
time 1206, 19 running, numprocesses=2, numholes=1, memusage=80%
time 1210, 36 running, numprocesses=1, numholes=1, memusage=84%
time 1212, 36 running, numprocesses=1, numholes=1, memusage=84%
time 1216, 297 running, numprocesses=1, numholes=1, memusage=84%
time 1218, 297 running, numprocesses=1, numholes=1, memusage=84%
time 1222, 162 running, numprocesses=1, numholes=1, memusage=64%
time 1224, 162 running, numprocesses=1, numholes=1, memusage=64%
time 1228, 175 running, numprocesses=1, numholes=1, memusage=44%
time 1236, 374 running, numprocesses=2, numholes=1, memusage=70%
time 1238, 374 running, numprocesses=2, numholes=1, memusage=70%
time 1242, 85 running, numprocesses=3, numholes=1, memusage=98%
time 1250, 451 running, numprocesses=1, numholes=1, memusage=89%
time 1252, 451 running, numprocesses=1, numholes=1, memusage=89%
time 1256, 227 running, numprocesses=1, numholes=1, memusage=25%
time 1264, 157 running, numprocesses=2, numholes=1, memusage=33%
time 1266, 8 running, numprocesses=3, numholes=1, memusage=75%
time 1268, 157 running, numprocesses=3, numholes=1, memusage=75%
time 1272, 8 running, numprocesses=3, numholes=1, memusage=75%
time 1276, 343 running, numprocesses=1, numholes=1, memusage=74%
time 1284, 603 running, numprocesses=1, numholes=1, memusage=41%
time 1286, 603 running, numprocesses=1, numholes=1, memusage=41%
time 1290, 808 running, numprocesses=1, numholes=1, memusage=90%
time 1292, 618 running, numprocesses=1, numholes=1, memusage=97%
time 1300, 339 running, numprocesses=1, numholes=1, memusage=75%
time 1308, 683 running, numprocesses=1, numholes=1, memusage=65%
time 1310, 683 running, numprocesses=1, numholes=1, memusage=65%
time 1311, 542 running, numprocesses=1, numholes=1, memusage=98%
time 1319, 641 running, numprocesses=1, numholes=1, memusage=19%
time 1320, 689 running, numprocesses=1, numholes=1, memusage=48%
time 1326, 1003 running, numprocesses=1, numholes=1, memusage=46%
time 1334, 982 running, numprocesses=2, numholes=1, memusage=90%
time 1336, 481 running, numprocesses=2, numholes=2, memusage=59%
time 1338, 625 running, numprocesses=3, numholes=2, memusage=83%
time 1340, 982 running, numprocesses=3, numholes=2, memusage=83%
time 1344, 764 running, numprocesses=3, numholes=1, memusage=64%
time 1346, 481 running, numprocesses=3, numholes=1, memusage=64%
time 1350, 625 running, numprocesses=3, numholes=1, memusage=64%
time 1354, 764 running, numprocesses=3, numholes=1, memusage=64%
time 1358, 202 running, numprocesses=4, numholes=1, memusage=94%
time 1366, 847 running, numprocesses=3, numholes=1, memusage=94%
time 1368, 847 running, numprocesses=3, numholes=1, memusage=94%
time 1372, 422 running, numprocesses=3, numholes=1, memusage=75%
time 1375, 732 running, numprocesses=3, numholes=1, memusage=49%
time 1383, 263 running, numprocesses=4, numholes=1, memusage=89%
time 1385, 263 running, numprocesses=4, numholes=1, memusage=89%
time 1389, 895 running, numprocesses=5, numholes=1, memusage=98%
time 1397, 675 running, numprocesses=2, numholes=2, memusage=90%
time 1399, 675 running, numprocesses=2, numholes=2, memusage=90%
time 1403, 312 running, numprocesses=2, numholes=2, memusage=45%
time 1405, 312 running, numprocesses=2, numholes=2, memusage=45%
time 1409, 216 running, numprocesses=2, numholes=2, memusage=70%
time 1417, 203 running, numprocesses=2, numholes=2, memusage=76%
time 1419, 203 running, numprocesses=2, numholes=2, memusage=76%
